T1C1,T1C2,T1C3,T1C4,T1C5,T2C1,T2C2,T2C3,T2C4,T2C5,GD
Irelia,Darius,Xerath,Anivia,Sejuani,Diana,Jayce,Maokai,Neeko,Kaisa,9391
Jayce,Evelynn,Yone,Varus,Galio,Gnar,Rengar,Ekko,Kaisa,Nautilus,5665
DrMundo,Vi,Orianna,MissFortune,Nautilus,Garen,LeeSin,Leblanc,Caitlyn,Janna,8416
DrMundo,JarvanIV,Galio,MissFortune,Morgana,Malphite,Brand,TwistedFate,Sivir,Lulu,7667
Tristana,MasterYi,Qiyana,LeeSin,Velkoz,Irelia,Jhin,Nidalee,Alistar,Nautilus,-2116
Morgana,Maokai,Samira,Pyke,Jhin,Hwei,Smolder,Zoe,Khazix,Rakan,7181
Nami,Zoe,TwistedFate,Graves,Malphite,Mordekaiser,Urgot,Tristana,Teemo,Nautilus,-2376
DrMundo,Shaco,Malzahar,MissFortune,Yuumi,Garen,Brand,Viktor,KogMaw,Morgana,7161
Sylas,Vi,Talon,Kaisa,Karma,DrMundo,Briar,Vex,Lucian,Nami,-1827
Garen,Hecarim,AurelionSol,MissFortune,Soraka,DrMundo,Viego,Hwei,Jhin,Pyke,-4169
DrMundo,Zac,Yasuo,Varus,Lux,Ornn,Warwick,Smolder,Tristana,Karma,9108
Ezreal,Rammus,Yasuo,Smolder,Rumble,DrMundo,Shyvana,Diana,Samira,Blitzcrank,-11649
Teemo,Viego,Galio,Caitlyn,Janna,DrMundo,Warwick,Malzahar,Xayah,Blitzcrank,13939
Darius,Skarner,Zed,Jinx,Lux,DrMundo,Shaco,Veigar,Draven,Lulu,-5979
Varus,Zilean,Vayne,Sejuani,Veigar,MissFortune,Jhin,Poppy,Maokai,Lulu,-3808
Sylas,LeeSin,Talon,Ziggs,Senna,DrMundo,Maokai,Kennen,Jinx,Braum,5793
DrMundo,Evelynn,Malzahar,AurelionSol,Nidalee,TahmKench,Kayn,Ahri,Draven,Soraka,3185
Garen,Mordekaiser,Malzahar,Ezreal,Zyra,DrMundo,Amumu,Kassadin,Caitlyn,Brand,-11068
Renekton,Diana,Yasuo,Jhin,Lux,Mordekaiser,Kayn,Akali,Vayne,Blitzcrank,-12816
Sejuani,Kaisa,MissFortune,Renekton,Vi,Hwei,Ziggs,MonkeyKing,Amumu,Sivir,-58
Veigar,Vayne,Jinx,Qiyana,Rammus,Bard,Caitlyn,Malzahar,Alistar,Senna,-2856
Azir,Amumu,Teemo,Samira,Malphite,LeeSin,Hwei,Kayle,Renekton,Varus,4084
Thresh,Varus,Zoe,Malphite,Aphelios,KogMaw,Lux,Viego,Darius,Leblanc,6362
Pantheon,Ekko,Katarina,MissFortune,Renata,Teemo,Lillia,Irelia,Vayne,Alistar,-9260
Malphite,Viego,Akshan,KogMaw,Yuumi,Aatrox,LeeSin,Katarina,Sivir,Thresh,-10032
Malphite,Viego,Galio,Jinx,Milio,DrMundo,Graves,Ryze,Maokai,Samira,10477
Nami,Brand,Renekton,Kayn,Varus,Galio,Vayne,Milio,Viego,Malphite,-4629
Tristana,Galio,Shyvana,Chogath,Warwick,Bard,Urgot,JarvanIV,Caitlyn,MonkeyKing,-6829
Irelia,XinZhao,Galio,Nilah,Alistar,Swain,Lillia,Taliyah,Draven,Pyke,-12043
Fiora,MasterYi,Ahri,Vayne,Thresh,Renekton,Galio,Vi,Kaisa,Nautilus,6124
