T1C1,T1C2,T1C3,T1C4,T1C5,T2C1,T2C2,T2C3,T2C4,T2C5,W1,W2,W3,W4,W5,GD,WL
Gwen,Amumu,Yone,Jinx,Nami,Garen,Karthus,Diana,Jhin,Seraphine,50.79,45.89,45.41,51.13,51.48,7497,100
Irelia,Ekko,Xerath,Tristana,Leona,Teemo,MasterYi,Veigar,Draven,Hwei,46.1,55.49,47.37,47.07,55.12,16977,100
Yorick,Khazix,Gragas,Samira,Blitzcrank,TwistedFate,Zed,Yasuo,Kalista,Poppy,52.54,51.61,59.17,53.23,46.89,-6413,200
KSante,Volibear,Ahri,Jinx,Bard,Renekton,Brand,Yone,Ashe,Lulu,48.27,49.19,51.14,50.01,53.41,-8337,200
Teemo,JarvanIV,Ziggs,Zeri,Alistar,Yone,LeeSin,Irelia,Yasuo,Lux,51.85,55.55,50,54.72,50.34,8818,100
FiddleSticks,Amumu,Akali,Ezreal,Milio,DrMundo,LeeSin,Diana,Caitlyn,Karma,50,51.18,48.81,47.21,50.26,-5068,200
MonkeyKing,Amumu,TwistedFate,Ashe,Milio,Volibear,MasterYi,Naafiri,Jinx,Lux,50.0,51.59,56.04,49.97,53.52,-10046,200
Jax,Volibear,Vex,Jhin,Morgana,Vladimir,Kayn,Hwei,Ezreal,Maokai,41.67,54.7,46.42,56.18,51.22,14740,100
Urgot,Shaco,Syndra,Jinx,Thresh,Yone,Diana,Brand,Twitch,Teemo,54.15,51.19,49.79,50.19,50,4637,100
Quinn,Rammus,Nocturne,Kaisa,Nautilus,Aatrox,Jax,Veigar,Ashe,Pyke,50.26,64.0,50,46.48,49.64,6054,100
Renekton,Vi,Katarina,Ezreal,Velkoz,Jax,Nocturne,Kayle,Samira,Xerath,51.51,50.46,46.23,47.38,44.51,8045,100
Trundle,Viego,AurelionSol,Ashe,Teemo,Sion,Diana,Kassadin,Ezreal,Sett,57.52,53.49,48.76,57.91,50,12836,100
Kayle,Briar,Neeko,Caitlyn,Anivia,Garen,Kayn,Zilean,Nilah,Irelia,55.8,53.81,50,49.56,50,5020,100
Irelia,MasterYi,Mordekaiser,Pyke,MissFortune,Sett,Rammus,Diana,Smolder,Maokai,46.46,44.81,50,50,50,-10472,200
Olaf,JarvanIV,Ekko,Jinx,Soraka,Sett,Ivern,Kassadin,Ziggs,Senna,51.98,48.77,45.67,51.01,53.39,3018,100
Sion,Nidalee,Zed,Kaisa,Lux,Tryndamere,Nocturne,Yone,Twitch,Yuumi,46.37,50.25,50.91,51.18,50.31,16360,100
Kennen,Sejuani,Tristana,Samira,Xerath,Fiora,Shaco,Corki,Ezreal,Taliyah,52.11,52.01,55.1,52.62,50,-13545,200
