Gwen,Amumu,Yone,Jinx,Nami,Garen,Karthus,Diana,Jhin,Seraphine,7497,100,NA1_4998970804,2073
Irelia,Ekko,Xerath,Tristana,Leona,Teemo,MasterYi,Veigar,Draven,Hwei,16977,100,NA1_4997006810,1345
Yorick,Khazix,Gragas,Samira,Blitzcrank,TwistedFate,Zed,Yasuo,Kalista,Poppy,-6413,200,NA1_4999071881,2641
KSante,Volibear,Ahri,Jinx,Bard,Renekton,Brand,Yone,Ashe,Lulu,-8337,200,NA1_4998376435,2349
Teemo,JarvanIV,Ziggs,Zeri,Alistar,Yone,LeeSin,Irelia,Yasuo,Lux,8818,100,NA1_4966064013,1752
FiddleSticks,Amumu,Akali,Ezreal,Milio,DrMundo,LeeSin,Diana,Caitlyn,Karma,-5068,200,NA1_4995639141,1701
MonkeyKing,Amumu,TwistedFate,Ashe,Milio,Volibear,MasterYi,Naafiri,Jinx,Lux,-10046,200,NA1_4962152180,1608
Jax,Volibear,Vex,Jhin,Morgana,Vladimir,Kayn,Hwei,Ezreal,Maokai,14740,100,NA1_4938901419,1549
Urgot,Shaco,Syndra,Jinx,Thresh,Yone,Diana,Brand,Twitch,Teemo,4637,100,NA1_4992043949,2959
Quinn,Rammus,Nocturne,Kaisa,Nautilus,Aatrox,Jax,Veigar,Ashe,Pyke,6054,100,NA1_4999397100,2002
Renekton,Vi,Katarina,Ezreal,Velkoz,Jax,Nocturne,Kayle,Samira,Xerath,8045,100,NA1_4996685241,1874
Trundle,Viego,AurelionSol,Ashe,Teemo,Sion,Diana,Kassadin,Ezreal,Sett,12836,100,NA1_4992964940,2019
Kayle,Briar,Neeko,Caitlyn,Anivia,Garen,Kayn,Zilean,Nilah,Irelia,5020,100,NA1_4987786667,2213
Irelia,MasterYi,Mordekaiser,Pyke,MissFortune,Sett,Rammus,Diana,Smolder,Maokai,-10472,200,NA1_4920984586,1922
Olaf,JarvanIV,Ekko,Jinx,Soraka,Sett,Ivern,Kassadin,Ziggs,Senna,3018,100,NA1_4942068716,2047
Sion,Nidalee,Zed,Kaisa,Lux,Tryndamere,Nocturne,Yone,Twitch,Yuumi,16360,100,LA1_1428835294,1778
Kennen,Sejuani,Tristana,Samira,Xerath,Fiora,Shaco,Corki,Ezreal,Taliyah,-13545,200,NA1_4993590294,1640
Camille,Evelynn,Viktor,Zeri,Yuumi,Garen,LeeSin,Vex,Aphelios,Senna,6204,100,NA1_4999180800,1975
Gnar,Briar,Neeko,MissFortune,Pantheon,Irelia,Nunu,Chogath,Lucian,Pyke,9426,100,NA1_4995564926,1822
Irelia,XinZhao,Malzahar,Akshan,Alistar,Garen,Amumu,Sion,Ashe,Janna,-6531,200,NA1_4994711124,1282
