Irelia,Darius,Xerath,Anivia,Sejuani,Diana,Jayce,Maokai,Neeko,Kaisa,9391,100,NA1_4998528846
Jayce,Evelynn,Yone,Varus,Galio,Gnar,Rengar,Ekko,Kaisa,Nautilus,5665,100,NA1_4998107450
DrMundo,Vi,Orianna,MissFortune,Nautilus,Garen,LeeSin,Leblanc,Caitlyn,Janna,8416,100,NA1_4997420827
DrMundo,JarvanIV,Galio,MissFortune,Morgana,Malphite,Brand,TwistedFate,Sivir,Lulu,7667,100,NA1_4997391180
Tristana,MasterYi,Qiyana,LeeSin,Velkoz,Irelia,Jhin,Nidalee,Alistar,Nautilus,-2116,200,NA1_4997367504
Morgana,Maokai,Samira,Pyke,Jhin,Hwei,Smolder,Zoe,Khazix,Rakan,7181,100,NA1_4997345726
Nami,Zoe,TwistedFate,Graves,Malphite,Mordekaiser,Urgot,Tristana,Teemo,Nautilus,-2376,200,NA1_4996051854
DrMundo,Shaco,Malzahar,MissFortune,Yuumi,Garen,Brand,Viktor,KogMaw,Morgana,7161,100,NA1_4995337267
Sylas,Vi,Talon,Kaisa,Karma,DrMundo,Briar,Vex,Lucian,Nami,-1827,200,NA1_4995312434
Garen,Hecarim,AurelionSol,MissFortune,Soraka,DrMundo,Viego,Hwei,Jhin,Pyke,-4169,100,NA1_4995287803
DrMundo,Zac,Yasuo,Varus,Lux,Ornn,Warwick,Smolder,Tristana,Karma,9108,100,NA1_4994681345
Ezreal,Rammus,Yasuo,Smolder,Rumble,DrMundo,Shyvana,Diana,Samira,Blitzcrank,-11649,200,NA1_4993328102
Teemo,Viego,Galio,Caitlyn,Janna,DrMundo,Warwick,Malzahar,Xayah,Blitzcrank,13939,100,NA1_4993311987
Darius,Skarner,Zed,Jinx,Lux,DrMundo,Shaco,Veigar,Draven,Lulu,-5979,200,NA1_4993296645
Mordekaiser,Vayne,Leona,Swain,Sona,Renekton,Lucian,Vi,Sona,Karthus,Amumu,Malphite,Aatrox,Yuumi,Yone,Aatrox,56630,100,NA1_4993258428
Varus,Zilean,Vayne,Sejuani,Veigar,MissFortune,Jhin,Poppy,Maokai,Lulu,-3808,200,NA1_4993239483
Sylas,LeeSin,Talon,Ziggs,Senna,DrMundo,Maokai,Kennen,Jinx,Braum,5793,100,NA1_4992663563
DrMundo,Evelynn,Malzahar,AurelionSol,Nidalee,TahmKench,Kayn,Ahri,Draven,Soraka,3185,100,NA1_4992645528
Garen,Mordekaiser,Malzahar,Ezreal,Zyra,DrMundo,Amumu,Kassadin,Caitlyn,Brand,-11068,200,NA1_4992632649
Renekton,Diana,Yasuo,Jhin,Lux,Mordekaiser,Kayn,Akali,Vayne,Blitzcrank,-12816,200,NA1_4992620473
Sejuani,Kaisa,MissFortune,Renekton,Vi,Hwei,Ziggs,MonkeyKing,Amumu,Sivir,-58,200,NA1_4992601647
Veigar,Vayne,Jinx,Qiyana,Rammus,Bard,Caitlyn,Malzahar,Alistar,Senna,-2856,200,NA1_4992587429
Azir,Amumu,Teemo,Samira,Malphite,LeeSin,Hwei,Kayle,Renekton,Varus,4084,100,NA1_4992575185
Thresh,Varus,Zoe,Malphite,Aphelios,KogMaw,Lux,Viego,Darius,Leblanc,6362,100,NA1_4992556469
Pantheon,Ekko,Katarina,MissFortune,Renata,Teemo,Lillia,Irelia,Vayne,Alistar,-9260,200,NA1_4991929637
Malphite,Viego,Akshan,KogMaw,Yuumi,Aatrox,LeeSin,Katarina,Sivir,Thresh,-10032,200,NA1_4991922795
Malphite,Viego,Galio,Jinx,Milio,DrMundo,Graves,Ryze,Maokai,Samira,10477,100,NA1_4991901955
Nami,Brand,Renekton,Kayn,Varus,Galio,Vayne,Milio,Viego,Malphite,-4629,200,NA1_4991876074
Tristana,Galio,Shyvana,Chogath,Warwick,Bard,Urgot,JarvanIV,Caitlyn,MonkeyKing,-6829,200,NA1_4991862851
